import time: self [us] | cumulative | imported package
import time:       315 |       5070 |                 pandas.core.util.hashing
import time:       147 |      27927 |               pandas.util
import time:      2768 |      30694 |             pandas.util.version
import time:       412 |      31105 |           pandas.compat.numpy
import time:        59 |         59 |               gc
import time:       223 |        223 |               pyarrow._generated_version
import time:       124 |        124 |                 backports_abc
import time:       100 |        100 |                       _uuid
import time:       439 |        539 |                     uuid
import time:       133 |        133 |                     cloudpickle.compat
import time:        93 |         93 |                           org
import time:        41 |        133 |                         org.python
import time:        37 |        169 |                       org.python.core
import time:       303 |        303 |                       _pickle
import time:       750 |       1221 |                     pickle
import time:      1316 |       1316 |                     typing_extensions
import time:       476 |       3683 |                   cloudpickle.cloudpickle
import time:        53 |         53 |                       atexit
import time:       784 |        836 |                     logging
import time:       336 |       1172 |                   cloudpickle.cloudpickle_fast
import time:       232 |       5085 |                 cloudpickle
import time:       312 |        312 |                     _socket
import time:      1849 |       2160 |                   socket
import time:       191 |       2350 |                 pyarrow.util
import time:       195 |        195 |                   _queue
import time:       332 |        526 |                 queue
import time:        59 |         59 |                 pyarrow.collections
import time:        48 |         48 |                 pyarrow.enum
import time:     11847 |      20037 |               pyarrow.lib
import time:       536 |        536 |               pyarrow._hdfsio
import time:       335 |        335 |                 pyarrow.filesystem
import time:       297 |        631 |               pyarrow.hdfs
import time:       256 |        256 |               pyarrow.ipc
import time:       254 |        254 |               pyarrow.serialization
import time:       287 |        287 |               pyarrow.types
import time:      1889 |      24168 |             pyarrow
import time:       232 |      24399 |           pandas.compat.pyarrow
import time:       283 |      58310 |         pandas.compat
import time:       935 |        935 |         pandas.core.config_init
import time:       237 |        237 |           pandas.core.dtypes.missing
import time:       138 |        138 |               pandas.util._exceptions
import time:       183 |        183 |               pandas.util._validators
import time:       576 |        897 |             pandas.core.dtypes.cast
import time:       176 |        176 |               pandas.core.array_algos
import time:       275 |        275 |                 pandas.core.common
import time:       334 |        609 |               pandas.core.construction
import time:       347 |       1131 |             pandas.core.array_algos.take
import time:       206 |        206 |             pandas.core.indexers
import time:       677 |       2909 |           pandas.core.algorithms
import time:       313 |        313 |               pandas.compat.numpy.function
import time:       188 |        188 |                 pandas.compat._optional
import time:       305 |        493 |               pandas.core.missing
import time:       184 |        184 |                 pandas.core.roperator
import time:      1157 |       1157 |                   pandas._libs.ops
import time:       165 |        165 |                     pandas.core.computation
import time:       259 |        259 |                     pandas.core.computation.check
import time:       316 |        739 |                   pandas.core.computation.expressions
import time:       141 |        141 |                   pandas.core.ops.missing
import time:       119 |        119 |                   pandas.core.ops.dispatch
import time:       122 |        122 |                   pandas.core.ops.invalid
import time:       362 |       2637 |                 pandas.core.ops.array_ops
import time:       173 |        173 |                 pandas.core.ops.common
import time:       194 |        194 |                 pandas.core.ops.docstrings
import time:       136 |        136 |                 pandas.core.ops.mask_ops
import time:       147 |        147 |                 pandas.core.ops.methods
import time:       344 |       3814 |               pandas.core.ops
import time:       259 |        259 |               pandas.core.sorting
import time:       791 |       5667 |             pandas.core.arrays.base
import time:       873 |        873 |                 pandas.core.nanops
import time:       166 |        166 |                 pandas.core.array_algos.masked_reductions
import time:       368 |        368 |                 pandas.core.arraylike
import time:       636 |       2041 |               pandas.core.arrays.masked
import time:       338 |       2379 |             pandas.core.arrays.boolean
import time:       235 |        235 |                 _csv
import time:       442 |        676 |               csv
import time:       265 |        265 |                 zlib
import time:       239 |        239 |                   _compression
import time:       238 |        238 |                   _bz2
import time:       281 |        756 |                 bz2
import time:       285 |        285 |                   _lzma
import time:       323 |        608 |                 lzma
import time:        57 |         57 |                 pwd
import time:       176 |        176 |                 grp
import time:       661 |       2521 |               shutil
import time:       220 |        220 |               pandas._libs.arrays
import time:       379 |        379 |               pandas.core.accessor
import time:       127 |        127 |                 pandas.core.array_algos.transforms
import time:       518 |        645 |               pandas.core.arrays._mixins
import time:       779 |        779 |               pandas.core.base
import time:      2466 |       2466 |                   pandas.core.strings.accessor
import time:       322 |        322 |                   pandas.core.strings.base
import time:       214 |       3001 |                 pandas.core.strings
import time:       221 |        221 |                 unicodedata
import time:       409 |       3630 |               pandas.core.strings.object_array
import time:       132 |        132 |                 pandas.io
import time:       206 |        338 |               pandas.io.formats
import time:       183 |        183 |               pandas.io.formats.console
import time:      1090 |      10456 |             pandas.core.arrays.categorical
import time:       151 |        151 |                 pandas.tseries
import time:       395 |        395 |                 pandas.tseries.frequencies
import time:      1139 |       1684 |               pandas.core.arrays.datetimelike
import time:       158 |        158 |               pandas.core.arrays._ranges
import time:       252 |        252 |                 pandas.core.arrays.numeric
import time:       130 |        130 |                   pandas.core.tools
import time:       225 |        355 |                 pandas.core.tools.numeric
import time:       515 |       1121 |               pandas.core.arrays.integer
import time:       148 |        148 |               pandas.tseries.offsets
import time:       703 |       3812 |             pandas.core.arrays.datetimes
import time:       314 |        314 |             pandas.core.arrays.floating
import time:       141 |        141 |                 pandas.core.indexes
import time:       481 |        481 |                 pandas._libs.index
import time:       386 |        386 |                 pandas._libs.join
import time:       356 |        356 |                         pandas._libs.sparse
import time:       286 |        286 |                         pandas.core.arrays.sparse.dtype
import time:       393 |        393 |                         pandas.io.formats.printing
import time:       599 |       1632 |                       pandas.core.arrays.sparse.array
import time:       394 |       2025 |                     pandas.core.arrays.sparse.accessor
import time:       186 |       2211 |                   pandas.core.arrays.sparse
import time:       222 |       2433 |                 pandas.core.dtypes.concat
import time:       183 |        183 |                 pandas.core.array_algos.putmask
import time:       186 |        186 |                 pandas.core.indexes.frozen
import time:      1822 |       5629 |               pandas.core.indexes.base
import time:      1743 |       7372 |             pandas.core.arrays.interval
import time:       328 |        328 |             pandas.core.arrays.numpy_
import time:       567 |        567 |             pandas.core.arrays.period
import time:       365 |        365 |             pandas.core.arrays.string_
import time:     19601 |      19601 |                 pyarrow._compute
import time:     33461 |      53062 |               pyarrow.compute
import time:       483 |      53544 |             pandas.core.arrays.string_arrow
import time:       582 |        582 |             pandas.core.arrays.timedeltas
import time:       395 |      85776 |           pandas.core.arrays
import time:       176 |        176 |           pandas.core.flags
import time:       391 |        391 |               pandas._libs.reduction
import time:       522 |        522 |                     pandas.core.indexes.extension
import time:       539 |       1061 |                   pandas.core.indexes.category
import time:       585 |        585 |                       pandas.core.indexes.numeric
import time:       236 |        236 |                       pandas.core.tools.timedeltas
import time:       968 |       1788 |                     pandas.core.indexes.datetimelike
import time:       223 |        223 |                     pandas.core.tools.times
import time:      1722 |       3732 |                   pandas.core.indexes.datetimes
import time:      2283 |       2283 |                     pandas.core.indexes.multi
import time:       379 |        379 |                     pandas.core.indexes.timedeltas
import time:      1342 |       4004 |                   pandas.core.indexes.interval
